Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
13,1497948920.0,2017-06-20 08:55:20,1,0.87884,0.87884,0.87884,0.87884,0.8789,0.8789,0.8789,0.8789,0.87877,0.87877,0.87877,0.87877,
14,1497948930.0,2017-06-20 08:55:30,1,0.87881,0.87881,0.87881,0.87881,0.87889,0.87889,0.87889,0.87889,0.87874,0.87874,0.87874,0.87874,
15,1497948945.0,2017-06-20 08:55:45,1,0.87884,0.87884,0.87884,0.87884,0.87891,0.87891,0.87891,0.87891,0.87877,0.87877,0.87877,0.87877,
16,1497948960.0,2017-06-20 08:56:00,3,0.87887,0.87891,0.87887,0.87891,0.87894,0.87899,0.87894,0.87899,0.87879,0.87882,0.87879,0.87882,
17,1497948975.0,2017-06-20 08:56:15,1,0.87893,0.87893,0.87893,0.87893,0.879,0.879,0.879,0.879,0.87886,0.87886,0.87886,0.87886,
18,1497948980.0,2017-06-20 08:56:20,1,0.87895,0.87895,0.87895,0.87895,0.87902,0.87902,0.87902,0.87902,0.87888,0.87888,0.87888,0.87888,
19,1497948985.0,2017-06-20 08:56:25,1,0.87893,0.87893,0.87893,0.87893,0.879,0.879,0.879,0.879,0.87886,0.87886,0.87886,0.87886,
20,1497949000.0,2017-06-20 08:56:40,1,0.87895,0.87895,0.87895,0.87895,0.87902,0.87902,0.87902,0.87902,0.87888,0.87888,0.87888,0.87888,
21,1497949010.0,2017-06-20 08:56:50,4,0.87897,0.87904,0.87897,0.87904,0.87904,0.87911,0.87904,0.87911,0.8789,0.87897,0.8789,0.87897,
22,1497949020.0,2017-06-20 08:57:00,1,0.87901,0.87901,0.87901,0.87901,0.87908,0.87908,0.87908,0.87908,0.87895,0.87895,0.87895,0.87895,
23,1497949030.0,2017-06-20 08:57:10,1,0.87899,0.87899,0.87899,0.87899,0.87907,0.87907,0.87907,0.87907,0.87892,0.87892,0.87892,0.87892,
24,1497949050.0,2017-06-20 08:57:30,1,0.87902,0.87902,0.87902,0.87902,0.87909,0.87909,0.87909,0.87909,0.87894,0.87894,0.87894,0.87894,
25,1497949055.0,2017-06-20 08:57:35,4,0.87904,0.87911,0.87904,0.87911,0.87912,0.87918,0.87912,0.87918,0.87896,0.87903,0.87896,0.87903,
26,1497949060.0,2017-06-20 08:57:40,3,0.87908,0.87904,0.87904,0.87908,0.87914,0.87911,0.87911,0.87914,0.87902,0.87896,0.87896,0.87902,
27,1497949100.0,2017-06-20 08:58:20,4,0.87906,0.87899,0.87899,0.87906,0.87913,0.87907,0.87907,0.87913,0.87899,0.87892,0.87892,0.87899,
28,1497949105.0,2017-06-20 08:58:25,3,0.87902,0.87907,0.87902,0.87907,0.87909,0.87914,0.87909,0.87914,0.87894,0.879,0.87894,0.879,
29,1497949110.0,2017-06-20 08:58:30,3,0.87905,0.87909,0.87905,0.87909,0.87912,0.87916,0.87912,0.87916,0.87898,0.87902,0.87898,0.87902,
30,1497949125.0,2017-06-20 08:58:45,3,0.87912,0.87912,0.87912,0.87915,0.87919,0.8792,0.87919,0.87921,0.87904,0.87905,0.87904,0.87908,
31,1497949150.0,2017-06-20 08:59:10,1,0.87915,0.87915,0.87915,0.87915,0.87922,0.87922,0.87922,0.87922,0.87907,0.87907,0.87907,0.87907,
32,1497949155.0,2017-06-20 08:59:15,1,0.87917,0.87917,0.87917,0.87917,0.87924,0.87924,0.87924,0.87924,0.8791,0.8791,0.8791,0.8791,
33,1497949180.0,2017-06-20 08:59:40,1,0.87915,0.87915,0.87915,0.87915,0.87922,0.87922,0.87922,0.87922,0.87908,0.87908,0.87908,0.87908,
34,1497949210.0,2017-06-20 09:00:10,3,0.87917,0.87916,0.87916,0.87919,0.87924,0.87923,0.87923,0.87926,0.8791,0.8791,0.8791,0.87912,
35,1497949220.0,2017-06-20 09:00:20,2,0.87913,0.87911,0.87911,0.87913,0.87921,0.87918,0.87918,0.87921,0.87906,0.87905,0.87905,0.87906,
36,1497949235.0,2017-06-20 09:00:35,7,0.87909,0.87909,0.87907,0.87912,0.87917,0.87917,0.87914,0.87919,0.87902,0.87902,0.87899,0.87904,
37,1497949240.0,2017-06-20 09:00:40,3,0.87912,0.87917,0.87912,0.87917,0.87919,0.87925,0.87919,0.87925,0.87904,0.87909,0.87904,0.87909,
38,1497949245.0,2017-06-20 09:00:45,6,0.87915,0.87912,0.87908,0.87915,0.87922,0.8792,0.87915,0.87922,0.87907,0.87905,0.87901,0.87907,
39,1497949250.0,2017-06-20 09:00:50,8,0.87915,0.87912,0.87908,0.87915,0.87922,0.87919,0.87915,0.87922,0.87907,0.87904,0.87901,0.87907,
40,1497949255.0,2017-06-20 09:00:55,2,0.87914,0.87916,0.87914,0.87916,0.87921,0.87924,0.87921,0.87924,0.87907,0.87909,0.87907,0.87909,
41,1497949260.0,2017-06-20 09:01:00,1,0.87913,0.87913,0.87913,0.87913,0.87921,0.87921,0.87921,0.87921,0.87906,0.87906,0.87906,0.87906,
42,1497949265.0,2017-06-20 09:01:05,1,0.87916,0.87916,0.87916,0.87916,0.87924,0.87924,0.87924,0.87924,0.87908,0.87908,0.87908,0.87908,
43,1497949270.0,2017-06-20 09:01:10,2,0.87913,0.87911,0.87911,0.87913,0.87921,0.87918,0.87918,0.87921,0.87906,0.87905,0.87905,0.87906,
44,1497949280.0,2017-06-20 09:01:20,1,0.87913,0.87913,0.87913,0.87913,0.87921,0.87921,0.87921,0.87921,0.87906,0.87906,0.87906,0.87906,
45,1497949285.0,2017-06-20 09:01:25,4,0.87911,0.87914,0.87909,0.87914,0.87918,0.87921,0.87916,0.87921,0.87904,0.87907,0.87902,0.87907,
46,1497949290.0,2017-06-20 09:01:30,1,0.87911,0.87911,0.87911,0.87911,0.8792,0.8792,0.8792,0.8792,0.87903,0.87903,0.87903,0.87903,
47,1497949295.0,2017-06-20 09:01:35,3,0.87909,0.87905,0.87905,0.87909,0.87917,0.87913,0.87913,0.87917,0.87902,0.87897,0.87897,0.87902,
48,1497949300.0,2017-06-20 09:01:40,2,0.87908,0.87905,0.87905,0.87908,0.87915,0.87913,0.87913,0.87915,0.879,0.87898,0.87898,0.879,
49,1497949305.0,2017-06-20 09:01:45,3,0.87908,0.87912,0.87908,0.87912,0.87915,0.87919,0.87915,0.87919,0.879,0.87905,0.879,0.87905,
50,1497949315.0,2017-06-20 09:01:55,1,0.87909,0.87909,0.87909,0.87909,0.87916,0.87916,0.87916,0.87916,0.87903,0.87903,0.87903,0.87903,
51,1497949320.0,2017-06-20 09:02:00,1,0.87912,0.87912,0.87912,0.87912,0.87919,0.87919,0.87919,0.87919,0.87904,0.87904,0.87904,0.87904,
52,1497949355.0,2017-06-20 09:02:35,1,0.87909,0.87909,0.87909,0.87909,0.87916,0.87916,0.87916,0.87916,0.87902,0.87902,0.87902,0.87902,
53,1497949370.0,2017-06-20 09:02:50,3,0.87911,0.87906,0.87906,0.87911,0.87918,0.87914,0.87914,0.87918,0.87904,0.87899,0.87899,0.87904,
